 FDIC Cert, Institution Name, Bank Holding Company, Total Assets, Cash and due from depository institutions, Interest-Bearing bank balances, Loan Loss Allowance, Net Income,  Percent Net Loans Charged-off:Construction & development,  Percent Net Loans Charged-off: Commercial real estate,  Percent Net Loans Charged-off: Multi-family residential,  Percent Net Loans Charged-off: 1-4 family residential,  Percent Net Loans Charged-off: Home equity loans,  All other 1-4 family - Percent of loans charged-off,  Percent Net Loans Charged-off: Commercial and industrial,  Percent Net Loans Charged-off: Loans to individuals,  Percent Net Loans Charged-off: Credit card loans,  Percent Net Loans Charged-off: Other loans to individuals,  Percent Net Loans Charged-off:Coml. RE not secured by RE, Net Loans, All real estate loans,  Farm loans,  Commercial and industrial loans,  Loans to individuals, All Other Loans and Leases,  Noncurrent loans to loans,  Percent Loans Noncurrent: Commercial real estate,  Percent Loans Noncurrent: Multifamily residential,  Percent Loans Noncurrent: 1-4 family residential,  Percent Loans Noncurrent: Home equity loans,  Percent of loans noncurrent - All other family,  Percent Loans noncurrent:Commercial and industrial loans,  Percent Loans Noncurrent: Loans to individuals,  Percent Loans Noncurrent: Credit card loans,  Percent Loans Noncurrent: Other loans to individuals,  Percent Loans Noncurrent:Commercial RE not secured by RE, Tier 1 leverage ratio, Tier 1 Risk-Based ratio, Total risk-based ratio, Yield on Earnings Assets, Efficiency Ratio, Non-Interest Income to Average Assets, Net charge-offs to loans and leases
9822,State Bank of Table Rock,DUROC INVESTMENT CO,92160,17856,16353,865,351,0,0,0,2.27298556654165E-02,0,2.46720671080225E-02,-0.109011627906977,7.20634158059092E-02,,7.20634158059092E-02,,67806,35234,23534,6940,2787,175,0.854800425215884,0,0,3.76338271871959,0,4.07446434843695,0,0.107642626480086,,0.107642626480086,,8.467044900492,NA,12.5044185224461,5.24679362611737,77.4655963302752,0.349859458166378,-5.88777893352698E-03
16906,State Bank of Taunton,TAUNTON BANCSHARES INC,49136,2116,1938,447,216,0,0,0,0,,0,-0.186412593206297,-5.11182108626198,,-5.11182108626198,,31471,22541,6099,3007,271,0,0,0,0,0,,0,0,0,,0,,10.4263083854921,NA,13.7624668992996,4.69637349781984,81.9184123484013,3.68442239855898E-02,-6.65195174311372E-02
27074,State Bank of Texas,SBT BANCSHARES INC,887249,170256,150450,6534,23360,0,8.63269474109867E-03,0,0.292827322062311,5.05234410559854,0.179237750729172,-1.54412877832164,0.192554557124519,,0.192554557124519,,627907,621923,0,10659,1103,756,2.65320179496596,3.04768238226689,0.463659902450774,4.76284487438922,4.41400304414003,4.77055272494913,1.79191293742377,1.17860380779692,,1.17860380779692,,15.9891766206776,NA,20.0224838038657,8.1292611248067,22.2308488612836,0.806136261091894,3.14499034487964E-03
5744,State Bank of the Lakes,WINTRUST FINANCIAL CORP,1265310,33934,22838,7528,4482,0.207569894677498,0.234823747894452,0,-2.37941466399266E-02,-4.08357721363915E-02,-1.16449456083999E-02,0.203368310052384,5.89168556915787E-03,,5.89168556915787E-03,0,937835,294541,0,402977,238259,9586,1.1393507044384,3.74472387805251,0,1.99939361272066,0.767399868680236,2.85714285714286,0.492832097117205,4.19711322552349E-04,,4.19711322552349E-04,0,9.58610628407031,NA,11.3420799831063,4.43390825361711,53.657606103958,0.338971138797058,0.134839765045925
12386,State Bank of Toulon,STARK COUNTY BCORP INC,233971,10649,2750,1569,1218,0,-0.170055173456277,,0,0,0,1.88571790166424,0,,6.80503572643756E-02,,148969,84936,44536,16841,2964,1275,1.33242999096658,1.54276131917272,,0.206947524020695,0,0.207668916413261,5.07095778160442,0.43859649122807,,0.43859649122807,,10.4371250707414,NA,13.3845769142957,4.43820780016236,64.159402241594,0.311944660664718,0.188974296852631
15308,State Bank of Wapello,WAPELLO BANKSHARES INC,37342,15340,13359,63,188,0,0,,0,,0,0,1.17554858934169,,1.17554858934169,,13267,7714,2241,547,1732,1096,0,0,,0,,0,0,0,,0,,13.8166679758071,NA,28.5088890075276,3.08406190759132,66.6666666666667,0.462245567957978,0.14993627708224
12706,State Bank of Waterloo,SBW BANCSHARES INC,178530,28388,25192,1924,391,0,0,0,-0.458172458172458,0,-0.526139476225196,0,0.511182108626198,,0.511182108626198,,120399,112356,790,4876,1737,2563,0.140611332292373,0.245041909036779,0,0.167082230162198,0,0.193833124589968,0,0,,0,,9.03393249767663,NA,12.4959442492982,4.28044840384166,84.452296819788,0.56924012252216,-0.142566419178817
8827,State Bank of Wheaton,TRAVERSE COUNTY INV CORP,79462,12982,12348,1150,1111,,0,0,0,0,0,0,0,,0,,64190,40042,17985,5261,685,1367,0.932047750229569,0,0,5.60560560560561,0,6.48148148148148,0,0,,0,,24.740077976607,NA,30.2138489892637,5.08016299173617,39.5323545405112,0.109383482283927,0
19689,State Bank of Whittington,WHITTINGTON BCORP INC,129199,7867,4686,854,837,0,0.148348387947518,0,9.83855820401592E-02,0,0.102829365573975,0,0.401661574376051,,0.401661574376051,,74325,48373,310,6965,19435,96,1.15457774112452,0.635178375280577,0,2.052230589686,0,2.15740740740741,0,1.38410084898379,,1.38410084898379,,10.7813656550703,NA,16.8648267709375,4.49100795578633,68.126207340631,0.843426108482582,0.173906063970677
5820,State Central Bank,LOGAN INVESTMENT CORP,38366,6079,4629,1196,179,0,-4.76703474279558,0,-0.674241478336871,0,-0.674536256323777,-1.42841200758844,0.744724865535788,4.87309644670051,-2.09497206703911,,18393,9611,287,8862,827,2,19.0617183112972,0,0,3.69108461101647,0,3.69598180439727,39.9345520198601,0,0,0,,11.8677516152578,NA,15.5673424229605,4.28477320680141,79.5871559633027,1.0521147506488,-1.38667198723065
